Band,Lower Frequency (Hz),Upper Frequency (Hz)
b,26957000,27283000
c1,26990000,27000000
c2,27040000,27050000
c3,27090000,27100000
c4,27140000,27150000
c5,27190000,27200000
d,40660000,40700000
e,138200000,138450000
f1,169400000,169475000
f2,169400000,169487500
f3,169487500,169587500
f4,169587500,169812500
g1,433050000,434790000
g2,433050000,434790000
g3,434040000,434790000
h0,862000000,863000000
h1.3,863000000,865000000
h1.4,865000000,868000000
h1.5,868000000,868600000
h1.6,868700000,869200000
h1.7,869400000,869650000
h1.8,869700000,870000000
h1.9,869700000,870000000
h2,870000000,874400000
h3,915000000,919400000